ObjectId,Country,ISO2,ISO3,Country_Disasters,Unit,Source,CTS_Code,CTS_Name,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021
589,Mozambique,MZ,MOZ,Mozambique - Storm,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,1,1,,,1,,,,,,1,,1,1,,,4,,1,1,,,,1,1,1,,1,3,,,,1,1,,2,,1
591,Mozambique,MZ,MOZ,Mozambique - Wildfire,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
592,Myanmar,MM,MMR,Myanmar - Flood,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,,,,,1,1,,,1,,1,,1,,1,1,,,,1,4,,,,1,1,1,2,3,2,1,3,2,1,1
593,Myanmar,MM,MMR,Myanmar - Landslide,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,,2,1,,1,1,1,
594,Myanmar,MM,MMR,Myanmar - Storm,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,1,,1,,1,,,,,1,2,1,,,,
596,Myanmar,MM,MMR,Myanmar - Wildfire,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,Namibia,NA,NAM,Namibia - Drought,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,1,,,,,,,,,1,,,,,1,,,1,,,1,1,,,,,,,,,,,1,,1,,,1,,,
598,Namibia,NA,NAM,Namibia - Flood,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,,,,,,,,,,,,,,1,,,1,2,,2,1,1,1,1,1,1,1,,,,1,,,1,1
600,Nepal,NP,NPL,Nepal - Drought,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,
601,Nepal,NP,NPL,Nepal - Extreme temperature,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,2,1,,,,,,1,,,
602,Nepal,NP,NPL,Nepal - Flood,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,2,1,1,1,1,1,1,1,,1,1,,1,,1,2,,2,1,1,,,1,1,2,1,1,2,2,2,2,1,2,3,,2,2,1,1,1,4
603,Nepal,NP,NPL,Nepal - Landslide,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,1,,,,,1,1,,,,1,,2,,1,,,,1,1,,,1,2,,,1,,2,1,,2,2,,1,,,,
